Time	Channel Voltage	Channel Current	Channel LP1	Channel LP2
(us)	(V)	(V)	(V)	(V)

-10.25599977	-7.87893677	0.00000000	0.10765255	0.04859744
-10.25199977	-7.87893677	0.00000000	0.10765255	0.04859744
-10.24799977	-7.87893677	0.00000000	0.10765255	0.04875123
-10.24399977	-7.87893677	0.00000000	0.10765255	0.04875123
-10.23999977	-7.87893677	0.00000000	0.10765255	0.04890502
-10.23599977	-7.87893677	0.00000000	0.10611466	0.04905881
-10.23199977	-7.87893677	0.00000000	0.10611466	0.04905881
-10.22799977	-7.87893677	0.00000000	0.10611466	0.04921260
-10.22399977	-7.87893677	0.00000000	0.10611466	0.04936639
-10.21999977	-7.87893677	0.00000000	0.10611466	0.04936639
-10.21599977	-7.87893677	0.00000000	0.10611466	0.04952018
-10.21199977	-7.87893677	0.00000000	0.10457677	0.04952018
-10.20799977	-7.87893677	0.01574803	0.10457677	0.04967397
-10.20399977	-7.87893677	0.00000000	0.10457677	0.04967397
-10.19999977	-7.87893677	0.00000000	0.10457677	0.04982775
-10.19599977	-7.87893677	0.00000000	0.10303888	0.04982775
-10.19199977	-7.87893677	0.00000000	0.10303888	0.04998155
-10.18799977	-7.87893677	0.00000000	0.10303888	0.04998155
-10.18399977	-7.87893677	0.00000000	0.10303888	0.05013533
-10.17999977	-7.87893677	0.00000000	0.10303888	0.05013533
-10.17599977	-7.87893677	0.00000000	0.10150098	0.05028912
-10.17199977	-7.87893677	0.00000000	0.10150098	0.05028912
-10.16799977	-7.87893677	0.00000000	0.10150098	0.05028912
-10.16399977	-7.87893677	0.00000000	0.09996309	0.05028912
-10.15999977	-7.87893677	0.00000000	0.09996309	0.05044291
-10.15599977	-7.87893677	0.00000000	0.09996309	0.05044291
-10.15199977	-7.87893677	0.00000000	0.09842519	0.05044291
-10.14799977	-7.87893677	0.00000000	0.09842519	0.05059670
-10.14399977	-7.87893677	0.00000000	0.09842519	0.05059670
