1,-50,71
2,-51,66
3,-103,372
4,-104,365
5,-104,355
6,-153,609
7,-154,601
8,-155,603
9,-155,601
10,-208,849
11,-209,859
12,-213,858
13,-226,933
14,-238,985
15,-253,1047
16,-258,1076
17,-271,1172
18,-295,1273
19,-305,1314
20,-345,1530
21,-672,3227
22,-360,1623
23,-402,1821
24,-399,1836
25,-399,1828
26,-674,3243
27,-674,3217
28,-675,3209
29,-679,3227
30,-679,3203
31,-679,3177
32,-676,3177
33,-450,1980
34,-517,2311
35,-419,1860
36,-410,1761
37,-128,424
38,-298,1245
39,-344,1441
40,-289,1193
