Time	Channel A	Channel B
(us)	(V)	(mV)

-10.00799966	7.87985992	0.00000000
-10.00399966	7.87985992	0.00000000
-9.99999966	7.87985992	0.00000000
-9.99599966	7.87985992	0.00000000
-9.99199966	7.87985992	0.00000000
-9.98799966	7.79927397	0.00000000
-9.98399966	7.87985992	0.00000000
-9.97999966	7.79927397	0.00000000
-9.97599966	7.87985992	3.95238662
-9.97199966	7.87985992	0.00000000
-9.96799966	7.87985992	0.00000000
-9.96399966	7.87985992	0.00000000
-9.95999966	7.87985992	3.95238662
-9.95599966	7.87985992	0.00000000
-9.95199966	7.87985992	3.95238662
-9.94799966	7.87985992	0.00000000
-9.94399966	7.87985992	3.95238662
-9.93999966	7.79927397	3.95238662
-9.93599966	7.87985992	3.95238662
-9.93199966	7.87985992	0.00000000
-9.92799967	7.87985992	0.00000000
-9.92399967	7.79927397	3.95238662
-9.91999967	7.87985992	3.95238662
-9.91599967	7.87985992	0.00000000
-9.91199967	7.87985992	0.00000000
-9.90799967	7.87985992	0.00000000
-9.90399967	7.87985992	0.00000000
-9.89999967	7.87985992	0.00000000
-9.89599967	7.87985992	3.95238662
-9.89199967	7.87985992	0.00000000
-9.88799967	7.87985992	3.95238662
-9.88399967	7.87985992	0.00000000
-9.87999967	7.87985992	0.00000000
-9.87599967	7.87985992	3.95238662
-9.87199967	7.79927397	3.95238662
-9.86799967	7.87985992	0.00000000
-9.86399967	7.79927397	3.95238662
-9.85999967	7.87985992	0.00000000
-9.85599967	7.87985992	3.95238662
-9.85199967	7.87985992	0.00000000
-9.84799967	7.87985992	3.95238662
-9.84399967	7.87985992	0.00000000
-9.83999967	7.87985992	0.00000000
-9.83599967	7.87985992	0.00000000
-9.83199967	7.87985992	0.00000000
-9.82799967	7.79927397	0.00000000
-9.82399967	7.87985992	0.00000000
-9.81999967	7.87985992	0.00000000
-9.81599967	7.87985992	3.95238662
-9.81199967	7.79927397	3.95238662
-9.80799967	7.87985992	3.95238662
-9.80399967	7.87985992	0.00000000
-9.79999967	7.79927397	0.00000000
-9.79599967	7.87985992	3.95238662
-9.79199967	7.87985992	7.90477324
-9.78799967	7.87985992	-7.90477324
-9.78399967	7.87985992	3.95238662
-9.77999967	7.79927397	19.77731133
-9.77599967	7.87985992	-27.69746399
-9.77199967	7.87985992	0.00000000
-9.76799967	7.79927397	39.55462265
-9.76399967	7.79927397	-39.55462265
-9.75999967	7.87985992	-7.90477324
-9.75599967	7.87985992	51.42716217
-9.75199967	7.87985992	-35.60223770
-9.74799967	7.79927397	-7.90477324
-9.74399967	7.87985992	27.69746399
-9.73999967	7.87985992	-11.85715961
-9.73599967	7.87985992	-7.90477324
-9.73199967	7.79927397	11.85715961
-9.72799967	7.87985992	3.95238662
-9.72399967	7.87985992	-7.90477324
-9.71999967	7.79927397	-3.95238662
-9.71599967	7.87985992	11.85715961
-9.71199967	7.79927397	0.00000000
-9.70799967	7.87985992	-3.95238662
-9.70399967	7.87985992	11.85715961
