Time	Channel A	Channel B
(us)	(V)	(mV)

-10.00799966	0.92458171	7.90477324
-10.00399966	0.94051427	7.90477324
-9.99999966	0.95644683	-19.77731133
-9.99599966	0.92458171	11.85715961
-9.99199966	0.94051427	19.77731133
-9.98799966	0.94051427	-35.60223770
-9.98399966	0.94051427	7.90477324
-9.97999966	0.92458171	31.64985275
-9.97599966	0.95644683	-31.64985275
-9.97199966	0.94051427	0.00000000
-9.96799966	0.92458171	27.69746399
-9.96399966	0.95644683	-31.64985275
-9.95999966	0.92458171	7.90477324
-9.95599966	0.94051427	19.77731133
-9.95199966	0.95644683	-23.72970009
-9.94799966	0.92458171	19.77731133
-9.94399966	0.92458171	11.85715961
-9.93999966	0.95644683	-23.72970009
-9.93599966	0.92458171	31.64985275
-9.93199966	0.92458171	-7.90477324
-9.92799967	0.95644683	-7.90477324
-9.92399967	0.92458171	35.60223770
-9.91999967	0.94051427	-31.64985275
-9.91599967	0.95644683	0.00000000
-9.91199967	0.92458171	39.55462265
-9.90799967	0.94051427	-39.55462265
-9.90399967	0.95644683	11.85715961
-9.89999967	0.92458171	35.60223770
-9.89599967	0.95644683	-35.60223770
-9.89199967	0.94051427	0.00000000
-9.88799967	0.92458171	31.64985275
-9.88399967	0.94051427	-31.64985275
-9.87999967	0.94051427	7.90477324
-9.87599967	0.92458171	27.69746399
-9.87199967	0.95644683	-23.72970009
-9.86799967	0.94051427	0.00000000
-9.86399967	0.92458171	27.69746399
-9.85999967	0.95644683	-27.69746399
-9.85599967	0.94051427	3.95238662
-9.85199967	0.92458171	19.77731133
-9.84799967	0.95644683	-19.77731133
-9.84399967	0.94051427	7.90477324
-9.83999967	0.92458171	27.69746399
-9.83599967	0.95644683	-31.64985275
-9.83199967	0.94051427	3.95238662
-9.82799967	0.92458171	27.69746399
-9.82399967	0.95644683	-11.85715961
-9.81999967	0.94051427	-3.95238662
-9.81599967	0.92458171	3.95238662
-9.81199967	0.95644683	3.95238662
-9.80799967	0.94051427	3.95238662
-9.80399967	0.94051427	-23.72970009
-9.79999967	0.95644683	23.72970009
-9.79599967	0.94051427	19.77731133
-9.79199967	0.94051427	-39.55462265
-9.78799967	0.94051427	31.64985275
-9.78399967	0.94051427	15.82492638
-9.77999967	0.94051427	-43.52238846
-9.77599967	0.94051427	35.60223770
-9.77199967	0.94051427	23.72970009
-9.76799967	0.94051427	-35.60223770
-9.76399967	0.94051427	23.72970009
-9.75999967	0.94051427	19.77731133
-9.75599967	0.95644683	-31.64985275
-9.75199967	0.92458171	15.82492638
-9.74799967	0.94051427	15.82492638
-9.74399967	0.95644683	-23.72970009
-9.73999967	0.92458171	15.82492638
-9.73599967	0.94051427	15.82492638
-9.73199967	0.94051427	-27.69746399
-9.72799967	0.92458171	3.95238662
-9.72399967	0.94051427	7.90477324
-9.71999967	0.95644683	3.95238662
-9.71599967	0.92458171	-3.95238662
-9.71199967	0.94051427	-19.77731133
-9.70799967	0.95644683	27.69746399
