Time	Channel A	Channel B
(us)	(V)	(mV)

-5.00799979	1.44884968	0.00000000
-5.00399979	1.40855682	0.00000000
-4.99999979	1.40855682	-3.95238662
-4.99599979	1.40855682	0.00000000
-4.99199979	1.40855682	0.00000000
-4.98799979	1.40855682	-3.95238662
-4.98399979	1.40855682	-3.95238662
-4.97999979	1.40855682	0.00000000
-4.97599979	1.44884968	-3.95238662
-4.97199979	1.40855682	0.00000000
-4.96799979	1.40855682	3.95238662
-4.96399979	1.40855682	0.00000000
-4.95999979	1.40855682	-3.95238662
-4.95599979	1.40855682	0.00000000
-4.95199979	1.40855682	0.00000000
-4.94799979	1.40855682	0.00000000
-4.94399979	1.40855682	0.00000000
-4.93999979	1.40855682	0.00000000
-4.93599979	1.40855682	0.00000000
-4.93199979	1.40855682	0.00000000
-4.92799979	1.40855682	0.00000000
-4.92399979	1.40855682	0.00000000
-4.91999979	1.40855682	0.00000000
-4.91599979	1.40855682	0.00000000
-4.91199979	1.44884968	0.00000000
-4.90799979	1.44884968	-3.95238662
-4.90399979	1.40855682	0.00000000
-4.89999979	1.40855682	0.00000000
-4.89599979	1.44884968	3.95238662
-4.89199979	1.40855682	-3.95238662
-4.88799979	1.40855682	0.00000000
-4.88399979	1.40855682	0.00000000
-4.87999979	1.40855682	3.95238662
-4.87599979	1.44884968	-3.95238662
-4.87199979	1.44884968	0.00000000
-4.86799979	1.40855682	0.00000000
-4.86399979	1.44884968	0.00000000
-4.85999979	1.44884968	-3.95238662
-4.85599979	1.44884968	0.00000000
-4.85199979	1.44884968	0.00000000
-4.84799979	1.40855682	0.00000000
-4.84399979	1.40855682	0.00000000
-4.83999979	1.40855682	0.00000000
-4.83599979	1.44884968	0.00000000
-4.83199979	1.44884968	3.95238662
-4.82799979	1.40855682	-3.95238662
-4.82399979	1.40855682	0.00000000
-4.81999979	1.40855682	0.00000000
-4.81599979	1.40855682	0.00000000
-4.81199979	1.40855682	-3.95238662
-4.80799979	1.40855682	0.00000000
-4.80399979	1.40855682	0.00000000
-4.79999979	1.44884968	0.00000000
-4.79599980	1.40855682	-3.95238662
-4.79199980	1.44884968	-3.95238662
-4.78799980	1.40855682	0.00000000
-4.78399980	1.44884968	0.00000000
-4.77999980	1.40855682	0.00000000
-4.77599980	1.40855682	0.00000000
-4.77199980	1.40855682	0.00000000
-4.76799980	1.40855682	0.00000000
-4.76399980	1.44884968	-3.95238662
-4.75999980	1.40855682	0.00000000
-4.75599980	1.40855682	0.00000000
-4.75199980	1.44884968	0.00000000
-4.74799980	1.40855682	-3.95238662
-4.74399980	1.40855682	0.00000000
-4.73999980	1.36826408	0.00000000
-4.73599980	1.40855682	0.00000000
-4.73199980	1.40855682	0.00000000
-4.72799980	1.40855682	0.00000000
-4.72399980	1.40855682	0.00000000
-4.71999980	1.44884968	0.00000000
-4.71599980	1.40855682	0.00000000
-4.71199980	1.40855682	0.00000000
-4.70799980	1.40855682	-3.95238662
-4.70399980	1.44884968	0.00000000
