Time	Channel A	Channel B
(us)	(V)	(mV)

-20.00799941	-0.48228347	0.00000000
-20.00399941	-0.48228347	0.00000000
-19.99999941	-0.56256151	0.00000000
-19.99599941	-0.56256151	0.00000000
-19.99199941	-0.48228347	0.00000000
-19.98799941	-0.56256151	-3.95238662
-19.98399941	-0.56256151	0.00000000
-19.97999941	-0.56256151	0.00000000
-19.97599941	-0.48228347	0.00000000
-19.97199941	-0.56256151	0.00000000
-19.96799941	-0.56256151	0.00000000
-19.96399941	-0.56256151	0.00000000
-19.95999941	-0.56256151	0.00000000
-19.95599941	-0.48228347	-3.95238662
-19.95199941	-0.48228347	0.00000000
-19.94799941	-0.56256151	0.00000000
-19.94399941	-0.48228347	0.00000000
-19.93999941	-0.56256151	-3.95238662
-19.93599941	-0.56256151	0.00000000
-19.93199941	-0.48228347	-3.95238662
-19.92799941	-0.56256151	0.00000000
-19.92399941	-0.56256151	0.00000000
-19.91999941	-0.48228347	0.00000000
-19.91599941	-0.56256151	0.00000000
-19.91199941	-0.48228347	0.00000000
-19.90799941	-0.56256151	0.00000000
-19.90399941	-0.48228347	0.00000000
-19.89999941	-0.48228347	-3.95238662
-19.89599941	-0.48228347	0.00000000
-19.89199941	-0.56256151	-3.95238662
-19.88799941	-0.56256151	0.00000000
-19.88399941	-0.56256151	0.00000000
-19.87999941	-0.56256151	0.00000000
-19.87599941	-0.56256151	0.00000000
-19.87199941	-0.56256151	0.00000000
-19.86799941	-0.56256151	0.00000000
-19.86399941	-0.48228347	0.00000000
-19.85999941	-0.56256151	0.00000000
-19.85599941	-0.48228347	0.00000000
-19.85199941	-0.56256151	0.00000000
-19.84799941	-0.56256151	0.00000000
-19.84399941	-0.56256151	0.00000000
-19.83999941	-0.56256151	0.00000000
-19.83599942	-0.56256151	0.00000000
-19.83199942	-0.48228347	0.00000000
-19.82799942	-0.48228347	-3.95238662
-19.82399942	-0.48228347	0.00000000
-19.81999942	-0.56256151	0.00000000
-19.81599942	-0.48228347	0.00000000
-19.81199942	-0.48228347	0.00000000
-19.80799942	-0.48228347	0.00000000
-19.80399942	-0.48228347	0.00000000
-19.79999942	-0.48228347	0.00000000
-19.79599942	-0.56256151	0.00000000
-19.79199942	-0.48228347	0.00000000
-19.78799942	-0.48228347	0.00000000
-19.78399942	-0.48228347	0.00000000
-19.77999942	-0.56256151	0.00000000
-19.77599942	-0.56256151	0.00000000
-19.77199942	-0.56256151	0.00000000
-19.76799942	-0.48228347	0.00000000
-19.76399942	-0.56256151	0.00000000
-19.75999942	-0.56256151	0.00000000
-19.75599942	-0.56256151	0.00000000
-19.75199942	-0.48228347	0.00000000
-19.74799942	-0.56256151	0.00000000
-19.74399942	-0.48228347	0.00000000
-19.73999942	-0.48228347	0.00000000
-19.73599942	-0.48228347	0.00000000
-19.73199942	-0.56256151	0.00000000
-19.72799942	-0.56256151	0.00000000
-19.72399942	-0.56256151	-3.95238662
-19.71999942	-0.48228347	0.00000000
-19.71599942	-0.48228347	-3.95238662
