12,-47,394,472,90
13,-48,404,464,92
14,-47,404,546,96
15,-47,406,464,96
16,-47,396,530,100
17,-47,406,534,99
18,-102,404,507,297
19,-102,399,484,300
20,-102,399,491,282
21,-151,406,526,516
22,-153,397,577,509
23,-151,402,642,499
24,-213,402,662,752
25,-210,406,577,735
26,-212,406,592,760
27,-272,402,728,1015
28,-272,402,728,1015
29,-260,407,751,966
30,-268,406,720,972
31,-370,399,584,1475
32,-389,396,654,1534
33,-341,406,789,1313
34,-344,395,789,1319
35,-290,386,882,1080
36,-291,394,728,1073
37,-299,397,619,1116
38,-313,405,654,1197
39,-331,407,704,1262
40,-327,407,720,1314
41,-327,407,793,1249
42,-636,404,890,2641
43,-638,403,890,2659
44,-638,403,890,2659
45,-636,402,770,2615
46,-632,403,890,2618
47,-630,400,890,2605
48,-632,403,890,2607
49,-638,400,890,2665
50,-627,402,890,2628
51,-632,403,890,2599
52,-632,405,890,2599
53,-634,396,890,2591
54,-627,401,782,2591
55,-633,399,890,2580
56,-626,406,871,2587
57,-629,405,890,2572
